CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCond_by_phase,shocked_day1
CSm,ext,t_061,stims/animals/kangaroo_simB.jpg,sim,5,3,bps2,animal,sim_ext_b_CSm,noUS
CSm,ext,t_062,stims/animals/goose_simB.jpg,sim,5,3,bps3,animal,sim_ext_b_CSm,noUS
CSp,acq,t_063,stims/tools/lawnmower.jpg,old,5,3,bps1,tool,old_acq_CSp,noUS
CSp,bps,t_064,stims/tools/treadmill.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSp,ext,t_065,stims/tools/testtube_simB.jpg,sim,5,3,bps3,tool,sim_ext_b_CSp,noUS
CSp,bps,t_066,stims/tools/measuringtape.jpg,new,5,3,bps1,tool,new_bps_CSp,noUS
CSp,ext,t_067,stims/tools/paperclip_simB.jpg,sim,5,3,bps2,tool,sim_ext_b_CSp,noUS
CSm,bps,t_068,stims/animals/pigeon.jpg,new,5,3,bps2,animal,new_bps_CSm,noUS
CSp,bps,t_069,stims/tools/benchdogs.jpg,new,5,3,bps3,tool,new_bps_CSp,noUS
CSp,bps,t_070,stims/tools/viceclamp.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSm,ext,t_071,stims/animals/cassowary_simB.jpg,sim,5,3,bps3,animal,sim_ext_b_CSm,noUS
CSm,acq,t_072,stims/animals/shrimp_simB.jpg,sim,5,3,bps2,animal,sim_acq_b_CSm,noUS
CSp,acq,t_073,stims/tools/fan.jpg,old,5,3,bps3,tool,old_acq_CSp,noUS
