participant,CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1,bps1_trials.thisRepN,bps1_trials.thisTrialN,bps1_trials.thisN,bps1_trials.thisIndex,iti_initial.started,trials_resp.started,mem_quest.started,recall_image.started,trials_resp.stopped,mem_quest.stopped,recall_image.stopped,trials_resp.keys,response_detected,iti_trial.started,warning_text.started,trials_resp.rt,trials_resp.duration,iti_trial.stopped,session,date,expName,psychopyVersion,frameRate,
44,CSm,acq,t_001,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,old_acq_CSm,noUS,0,0,0,0,13.829064082994591,23.849353083001915,23.849353083001915,23.849353083001915,28.878462707973085,28.878462707973085,28.878462707973085,None,False,28.878462707973085,28.878462707973085,,,,2,2025-07-30_15h08.16.503,recall,2023.1.3,None,
44,CSp,base,t_002,stims/tools/weedeater.jpg,old,5,2,bps1,tool,old_base_CSp,noUS,0,1,1,1,,30.894129167019855,30.894129167019855,30.894129167019855,35.90918870799942,35.90918870799942,35.90918870799942,2,True,35.90918870799942,35.90918870799942,3.576140541001223,None,37.931635416985955,2,2025-07-30_15h08.16.503,recall,2023.1.3,None,
44,CSp,acq,t_003,stims/tools/baseball_simB.jpg,sim,5,2,bps1,tool,sim_acq_CSp,YES_US,0,2,2,2,,37.931635416985955,37.931635416985955,37.931635416985955,42.94958591699833,42.94958591699833,42.94958591699833,3,True,42.94958591699833,42.94958591699833,1.6402330420096405,None,44.97786941699451,2,2025-07-30_15h08.16.503,recall,2023.1.3,None,
44,CSm,ext,t_004,stims/animals/rhino.jpg,old,5,2,bps1,animal,old_ext_CSm,noUS,0,3,3,3,,44.97786941699451,44.97786941699451,44.97786941699451,49.99096779199317,49.99096779199317,49.99096779199317,4,True,49.99096779199317,49.99096779199317,0.6818753340048715,None,,2,2025-07-30_15h08.16.503,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,,52.00376204197528,52.00376204197528,52.00376204197528,,,,,,,,,,,,,,,,
