participant,CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1,bps1_trials.thisRepN,bps1_trials.thisTrialN,bps1_trials.thisN,bps1_trials.thisIndex,iti_initial.started,trials_resp.started,mem_quest.started,recall_image.started,trials_resp.stopped,mem_quest.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,response_detected,iti_trial.started,warning_text.started,iti_trial.stopped,session,date,expName,psychopyVersion,frameRate,
44,CSm,acq,t_001,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,old_acq_CSm,noUS,0,0,0,0,17.715674707957078,27.765997749986127,27.765997749986127,27.765997749986127,32.79865804099245,32.79865804099245,32.79865804099245,1,1.9264093329547904,None,True,32.79865804099245,32.79865804099245,,2,2025-07-30_15h07.01.408,recall,2023.1.3,None,
44,CSp,base,t_002,stims/tools/weedeater.jpg,old,5,2,bps1,tool,old_base_CSp,noUS,0,1,1,1,,34.8011002499843,34.8011002499843,34.8011002499843,39.82677041599527,39.82677041599527,39.82677041599527,3,0.8836162500083447,None,True,39.82677041599527,39.82677041599527,41.84916004096158,2,2025-07-30_15h07.01.408,recall,2023.1.3,None,
44,CSp,acq,t_003,stims/tools/baseball_simB.jpg,sim,5,2,bps1,tool,sim_acq_CSp,YES_US,0,2,2,2,,41.84916004096158,41.84916004096158,41.84916004096158,46.871441458002664,46.871441458002664,46.871441458002664,None,,,False,46.871441458002664,46.871441458002664,48.89451549999649,2,2025-07-30_15h07.01.408,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,,48.89451549999649,48.89451549999649,48.89451549999649,,,,,,,,,,,,,,,,
