participant,CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1,bps2_trials.thisRepN,bps2_trials.thisTrialN,bps2_trials.thisN,bps2_trials.thisIndex,iti_initial.started,trials_resp.started,mem_quest.started,recall_image.started,trials_resp.stopped,mem_quest.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,response_detected,iti_trial.started,warning_text.started,iti_trial.stopped,session,date,expName,psychopyVersion,frameRate,
44,CSm,bps,t_001,stims/animals/dolphin.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,noUS,0,0,0,0,14.431175916979555,24.469103917013854,24.469103917013854,24.469103917013854,29.511583207990043,29.511583207990043,29.511583207990043,3,0.8511132079875097,None,True,29.511583207990043,29.511583207990043,,2,2025-07-30_15h11.44.151,recall,2023.1.3,None,
44,CSm,base,t_002,stims/animals/waterdragon.jpg,old,5,2,bps2,animal,OLD_BL_CSm,noUS,0,1,1,1,,31.50486704200739,31.50486704200739,31.50486704200739,36.52769920800347,36.52769920800347,36.52769920800347,None,,,False,36.52769920800347,36.52769920800347,38.54305454198038,2,2025-07-30_15h11.44.151,recall,2023.1.3,None,
44,CSm,ext,t_003,stims/animals/capybara.jpg,old,5,2,bps2,animal,OLD_EXT_CSm,noUS,0,2,2,2,,38.54305454198038,38.54305454198038,38.54305454198038,43.5699475830188,43.5699475830188,43.5699475830188,None,,,False,43.5699475830188,43.5699475830188,,2,2025-07-30_15h11.44.151,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,,45.58115645800717,45.58115645800717,45.58115645800717,,,,,,,,,,,,,,,,
