participant,CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1,bps1_trials.thisRepN,bps1_trials.thisTrialN,bps1_trials.thisN,bps1_trials.thisIndex,iti_initial.started,trials_resp.started,mem_quest.started,recall_image.started,trials_resp.stopped,mem_quest.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,response_detected,iti_trial.started,warning_text.started,iti_trial.stopped,session,date,expName,psychopyVersion,frameRate,
44,CSm,acq,t_001,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,old_acq_CSm,noUS,0,0,0,0,17.11215258296579,27.150399125006516,27.150399125006516,27.150399125006516,32.18082437501289,32.18082437501289,32.18082437501289,2,2.8162609589635395,None,True,32.18082437501289,32.18082437501289,,2,2025-07-30_15h02.37.496,recall,2023.1.3,None,
44,CSp,base,t_002,stims/tools/weedeater.jpg,old,5,2,bps1,tool,old_base_CSp,noUS,0,1,1,1,,34.1815627500182,34.1815627500182,34.1815627500182,39.208244125009514,39.208244125009514,39.208244125009514,3,1.21732808399247,None,False,39.208244125009514,39.208244125009514,41.23289891600143,2,2025-07-30_15h02.37.496,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,,41.23289891600143,41.23289891600143,41.23289891600143,46.25555608299328,46.25555608299328,46.25555608299328,4,1.1167577079613693,None,False,46.25555608299328,46.25555608299328,,,,,,,
