participant,CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1,bps1_trials.thisRepN,bps1_trials.thisTrialN,bps1_trials.thisN,bps1_trials.thisIndex,iti_initial.started,trials_resp.started,recall_image.started,trials_resp.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,response_detected,iti_trial.started,warning_text.started,iti_trial.stopped,session,date,expName,psychopyVersion,frameRate,
44,CSm,acq,t_001,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,old_acq_CSm,noUS,0,0,0,0,14.58762491698144,24.602159166999627,24.602159166999627,29.603085250011645,29.603085250011645,1,1.1175131669733673,None,True,29.603085250011645,29.603085250011645,31.59770133299753,2,2025-07-30_12h16.47.107,recall,2023.1.3,None,
44,CSp,base,t_002,stims/tools/weedeater.jpg,old,5,2,bps1,tool,old_base_CSp,noUS,0,1,1,1,,31.59770133299753,31.59770133299753,36.602076667011715,36.602076667011715,2,3.741844374977518,None,True,36.602076667011715,36.602076667011715,38.60290125000756,2,2025-07-30_12h16.47.107,recall,2023.1.3,None,
44,CSp,acq,t_003,stims/tools/baseball_simB.jpg,sim,5,2,bps1,tool,sim_acq_CSp,YES_US,0,2,2,2,,38.60290125000756,38.60290125000756,43.606131458014715,43.606131458014715,2,1.2540314589859918,None,True,43.606131458014715,43.606131458014715,45.60293950000778,2,2025-07-30_12h16.47.107,recall,2023.1.3,None,
44,CSm,ext,t_004,stims/animals/rhino.jpg,old,5,2,bps1,animal,old_ext_CSm,noUS,0,3,3,3,,45.61488220799947,45.61488220799947,50.62243083299836,50.62243083299836,1,0.2702374170185067,None,True,50.62243083299836,50.62243083299836,52.62449466699036,2,2025-07-30_12h16.47.107,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,,52.62449466699036,52.62449466699036,,,,,,,,,,,,,,,
