trial_type,trial,stimulus,cs_duration,iti_duration,block,trial_cs,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inst1_resp.started,inst1.started,inst1.stopped,inst1_resp.keys,inst1_resp.rt,inst1_resp.duration,inst2_resp.started,inst2_resp.keys,inst2_resp.rt,inst2_resp.duration,inst3_resp.started,inst3_resp.keys,inst3_resp.rt,inst3_resp.duration,ex_iti_resp.keys,ex_iti_resp.rt,ex_iti_resp.duration,ex_trials_resp.started,ex_tool.started,ex_animal.started,image.started,ex_trials_resp.stopped,ex_tool.stopped,ex_animal.stopped,image.stopped,ex_trials_resp.keys,ex_trials_resp.rt,ex_trials_resp.duration,inst4_resp.started,inst4_resp.keys,inst4_resp.rt,inst4_resp.duration,beg_exp_resp.keys,beg_exp_resp.rt,beg_exp_resp.duration,ani_iti.started,tool_iti.started,crosshair.started,ani_iti.stopped,tool_iti.stopped,crosshair.stopped,base_image.started,trials_resp.started,animal.started,tool.started,base_image.stopped,trials_resp.stopped,animal.stopped,tool.stopped,trials_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,10.134491625009105,10.134491625009105,10.564201208006125,space,0.42142937501193956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,10.564201208006125,space,0.3299969169893302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,10.899810999981128,space,0.40173737495206296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8977425000048243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.216520000016317,12.216520000016317,12.216520000016317,12.216520000016317,17.217389917001128,17.217389917001128,17.217389917001128,17.217389917001128,2,1.5688917909865268,None,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.217389917001128,space,0.6584067920339294,None,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3739818329922855,None,,,,,,,,,,,,,,,,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
CS-,1,stims/tools/woodchipper.jpg,5,6,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.27852133300621,18.27852133300621,18.27852133300621,24.279109333001543,24.279109333001543,24.279109333001543,24.279109333001543,24.279109333001543,24.279109333001543,24.279109333001543,29.273626875015907,29.273626875015907,29.273626875015907,29.273626875015907,None,,001,2025-06-10_12h24.31.204,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.273626875015907,29.273626875015907,29.273626875015907,,,,,,,,,,,,,,,,,,,
