participant,CS_type,CS_trial,category_trial,trial,phase,mem_cond,us,stimulus,cs_duration,iti_duration,cond_trials.thisRepN,cond_trials.thisTrialN,cond_trials.thisN,cond_trials.thisIndex,iti_initial.started,trials_resp.started,cond_image.started,trials_resp.stopped,cond_image.stopped,trials_resp.keys,response_detected,iti_trial.started,warning_text.started,warning_text.stopped,trials_resp.rt,trials_resp.duration,iti_trial.stopped,session,date,expName,psychopyVersion,frameRate,
77,CSp,CSp_001,animal_001,t_001,acq,old,0,stims/animals/mink.jpg,5,6,0,0,0,0,60.774672624946106,70.80405962496297,70.80405962496297,75.80888649995904,75.80888649995904,None,False,75.80888649995904,75.80888649995904,78.80346870794892,,,,2,2025-07-30_12h06.20.060,recall,2023.1.3,None,
77,CSp,CSp_002,animal_002,t_002,acq,old,0,stims/animals/turkey.jpg,5,4,0,1,1,1,,81.80262512498302,81.80262512498302,86.80358095798874,86.80358095798874,2,True,86.80358095798874,86.80358095798874,89.79640416696202,0.7154275829670951,None,90.80333420797251,2,2025-07-30_12h06.20.060,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,90.80333420797251,90.80333420797251,95.80035795795266,95.80035795795266,1,True,95.80035795795266,95.80035795795266,98.7888905419968,0.7027839159709401,None,,,,,,,
