participant,CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,counterbal_order,stim,recall_trials.thisRepN,recall_trials.thisTrialN,recall_trials.thisN,recall_trials.thisIndex,crosshair.started,crosshair.stopped,trials_resp.started,recall_image.started,trials_resp.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,session,date,expName,psychopyVersion,frameRate,
7,CSm,t_001,recall,1,2,tool_001,CSm_001,Order1,stims/tools/stapler.jpg,0,0,0,0,11.346662500000093,13.350850666000042,13.350850666000042,13.350850666000042,14.346480540989432,14.346480540989432,1,0.4833079579984769,None,2,2025-06-18_12h54.55.946,recall,2023.1.3,None,
7,CSp,t_002,recall,1,2,animal_001,CSp_001,Order1,stims/animals/snail.jpg,0,1,1,1,14.346480540989432,16.34606337500736,16.34606337500736,16.34606337500736,17.34005670802435,17.34005670802435,2,0.5384121250244789,None,2,2025-06-18_12h54.55.946,recall,2023.1.3,None,
7,CSm,t_003,recall,1,2,tool_002,CSm_002,Order1,stims/tools/coffeegrinder.jpg,0,2,2,2,17.34005670802435,19.33894445799524,19.33894445799524,19.33894445799524,20.33466449996922,20.33466449996922,1,0.29010733298491687,None,2,2025-06-18_12h54.55.946,recall,2023.1.3,None,
,,,,,,,,,,,,,,20.33466449996922,22.33403708296828,,,,,,,,,,,,,
