participant,CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,counterbal_order,stim,crosshair.started,crosshair.stopped,trials_resp.started,recall_image.started,trials_resp.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,session,date,expName,psychopyVersion,frameRate,Unnamed: 28
7.0,CSm,t_001,recall,1.0,2.0,tool_001,CSm_001,Order1,stims/tools/stapler.jpg,11.39284145802958,13.401501291024035,13.401501291024035,13.401501291024035,14.39799537503859,14.39799537503859,1.0,0.36920854198979214,None,2.0,2025-06-18_12h56.09.816,recall,2023.1.3,None,
7.0,CSp,t_002,recall,1.0,2.0,animal_001,CSp_001,Order1,stims/animals/snail.jpg,14.39799537503859,16.392782750015613,16.392782750015613,16.392782750015613,17.389683625020552,17.389683625020552,2.0,0.3421917079831473,None,2.0,2025-06-18_12h56.09.816,recall,2023.1.3,None,
7.0,CSm,t_003,recall,1.0,2.0,tool_002,CSm_002,Order1,stims/tools/coffeegrinder.jpg,17.389683625020552,19.38493187498534,19.38493187498534,19.38493187498534,20.376011624990497,20.376011624990497,1.0,0.38177629199344665,None,2.0,2025-06-18_12h56.09.816,recall,2023.1.3,None,
,,,,,,,,,,20.376011624990497,22.37333429104183,,,,,,,,,,,,,
