participant,CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,counterbal_order,stim,recall_trials.thisRepN,recall_trials.thisTrialN,recall_trials.thisN,recall_trials.thisIndex,crosshair.started,crosshair.stopped,trials_resp.started,recall_image.started,trials_resp.stopped,recall_image.stopped,trials_resp.keys,trials_resp.rt,trials_resp.duration,session,date,expName,psychopyVersion,frameRate,
7,CSm,t_001,recall,1,2,tool_001,CSm_001,Order1,stims/tools/stapler.jpg,0,0,0,0,11.39284145802958,13.401501291024033,13.401501291024033,13.401501291024033,14.39799537503859,14.39799537503859,1,0.36920854198979214,None,2,2025-06-18_12h56.09.816,recall,2023.1.3,None,
7,CSp,t_002,recall,1,2,animal_001,CSp_001,Order1,stims/animals/snail.jpg,0,1,1,1,14.39799537503859,16.392782750015613,16.392782750015613,16.392782750015613,17.389683625020552,17.389683625020552,2,0.34219170798314735,None,2,2025-06-18_12h56.09.816,recall,2023.1.3,None,
7,CSm,t_003,recall,1,2,tool_002,CSm_002,Order1,stims/tools/coffeegrinder.jpg,0,2,2,2,17.389683625020552,19.38493187498534,19.38493187498534,19.38493187498534,20.376011624990497,20.376011624990497,1,0.38177629199344665,None,2,2025-06-18_12h56.09.816,recall,2023.1.3,None,
,,,,,,,,,,,,,,20.376011624990497,22.37333429104183,,,,,,,,,,,,,
