FAB,stim,pic,path,location,FPS,us,iti,cs_duration,trial,half,FPS_timing,task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,conditioning_trials.thisRepN,conditioning_trials.thisTrialN,conditioning_trials.thisN,conditioning_trials.thisIndex,inst1.started,inst1_response.started,inst1_response.keys,inst1_response.rt,inst2.started,inst2_response.started,inst2_response.keys,inst2_response.rt,inst1_2.started,inst1_response_2.started,inst1_response_2.keys,inst1_response_2.rt,sliderright.started,sliderleft.started,instdemo.started,shape_demo.started,slider0l_d.started,expect0_d.started,slider0r_d.started,markerdemo.started,mouse_d.started,resp_demo.started,marker_hit,resp_demo.keys,resp_demo.rt,inst4.started,inst4_response.started,inst4_response.keys,inst4_response.rt,inst5.started,inst5_response.started,inst5_response.keys,inst5_response.rt,cross_start.started,cross_start.stopped,stim_onset,textr_cond.started,img_cond.started,textl_cond.started,shape_cond.started,sliderl_cond.started,expect_cond.started,sliderr_cond.started,marker_cond.started,mouse_cond.started,CS_duration,exp_rating_final,exp_rt_final,exp_rating_all,exp_rt_all,iti_begin_cond,cross_2.started,cross_2.stopped,iti_duration,FPSstart,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,0,0,0,0,,,,,18.693875099997967,18.693875099997967,space,7.608136099996045,26.331547599984333,26.331547599984333,space,4.179011799977161,30.531637299980503,30.531637299980503,space,5.210671100008767,35.774406699987594,35.774406699987594,35.774406699987594,35.774406699987594,35.774406699987594,35.774406699987594,35.774406699987594,35.774406699987594,0.009162600035779178,35.774406699987594,15.731994500034489,space,40.398656400037,76.19776509999065,76.19776509999065,space,4.76062960003037,80.98116949998075,80.98116949998075,space,3.0972711000358686,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03_12h41.59.390,conditioning,2022.2.1,59.99610027267894,
B-,CS1-,blue,stimuli/blue.jpg,"[0, 0.1]",0,0,7,5,1,1,5,conditioning,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2.315715699980501,,,,,,,,,,,84.0979754999862,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,86.17206650000298,0.07490720000350848,4.99912089999998,0.4,4.165710899978876,"[53.4, 53.0, 52.8, 51.9, 51.1, 49.8, 49.4, 49.2, 48.4, 47.1, 44.4, 42.6, 41.5, 40.5, 39.7, 39.0, 38.0, 36.7, 34.4, 33.2, 32.1, 30.4, 28.4, 25.9, 23.0, 20.2, 17.7, 15.5, 13.0, 10.9, 9.3, 7.1, 6.4, 5.9, 5.8, 5.5, 5.2, 4.7, 4.3, 3.1, 2.0, 1.5, 1.3, 0.9, 0.8, 0.6, 0.4]","[2.315715699980501, 2.332334299979266, 2.349061499990057, 2.3654918000102043, 2.3822309999959543, 2.3988526000175625, 2.4155534000019543, 2.4324584000278264, 2.8321185000240803, 2.8488303999765776, 2.8655835000099614, 2.882140400004573, 2.89896730001783, 2.9155768000055104, 2.932267700030934, 2.9488259999779984, 2.96551210002508, 2.9821509000030346, 2.9990595999988727, 3.0154911000281572, 3.0322015000274405, 3.049029599991627, 3.065544500015676, 3.0822211999911815, 3.099103800021112, 3.115511799987871, 3.1321784000028856, 3.14893879997544, 3.1656310000107624, 3.182276899984572, 3.1990260999882594, 3.2157225999981165, 3.2322214000159875, 3.2488861000165343, 3.265548099996522, 3.2824475999805145, 3.3155022999853827, 3.3323875999776646, 3.3488970000180416, 3.3655059000011533, 3.3821767999907024, 3.398832199978642, 3.415574899991043, 3.6154929000185803, 3.632221699983347, 4.148823900031857, 4.165710899978876]",0.019467399979475886,91.1143189999857,98.2174605000182,7.016261200013105,,,2025-03-03_12h41.59.390,conditioning,2022.2.1,59.99610027267894,
A+,CS2+,orange,stimuli/orange.jpg,"[0, 0.1]",1,1,7,5,2,1,5,conditioning,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0.8492430999758653,,,,,,,,,,,,,98.2174605000182,98.2174605000182,98.2174605000182,98.2174605000182,98.2174605000182,98.2174605000182,98.2174605000182,98.2174605000182,98.2174605000182,0.1068741999915801,4.999206899956334,99.8,2.18254639999941,"[49.3, 48.9, 48.6, 48.3, 48.1, 48.1, 48.9, 53.0, 55.5, 67.2, 75.2, 81.6, 85.9, 88.5, 89.8, 90.5, 90.6, 90.8, 91.1, 91.4, 91.6, 91.9, 92.2, 92.4, 92.7, 92.9, 93.1, 93.2, 93.6, 93.7, 94.0, 94.2, 94.5, 94.6, 94.9, 95.0, 95.2, 95.4, 95.6, 95.7, 95.9, 96.3, 96.6, 96.8, 96.9, 97.1, 97.3, 97.5, 97.6, 97.8, 97.9, 98.0, 98.1, 98.2, 98.4, 98.6, 98.7, 99.0, 99.2, 99.4, 99.6, 99.8]","[0.8492430999758653, 0.8659402999910526, 0.8828458999632858, 0.8991617999854498, 0.9325476999511011, 0.9494730999576859, 1.1326584999915212, 1.1493509999709204, 1.165967599954456, 1.1826659999787807, 1.1992168999859132, 1.2160130999982357, 1.2326555999461561, 1.2492518999497406, 1.265959499985911, 1.2825463999761268, 1.2992261999752373, 1.3158914999803528, 1.3326669999514706, 1.3493669999879785, 1.365819400001783, 1.3827522999490611, 1.399243599968031, 1.4161540999775752, 1.4325672999839298, 1.4494454999803565, 1.4660232999594882, 1.4826257999520749, 1.499245399958454, 1.5159053999814205, 1.5325200999504887, 1.549483299953863, 1.569316399982199, 1.5825770999654196, 1.5992589999805205, 1.6158686999697238, 1.6326734999893233, 1.6492329000029713, 1.6659258999861777, 1.6827182999695651, 1.699346899986267, 1.716197799949441, 1.7492756999563426, 1.7825474999845028, 1.7995825999532826, 1.8191408999846317, 1.8325523999519646, 1.8493528999970295, 1.8659740999573842, 1.882574499992188, 1.9160274000023492, 1.9825085999909788, 1.9993495999951847, 2.0158874999615364, 2.032508299977053, 2.049209799966775, 2.066155499953311, 2.0825726999901235, 2.1159198999521323, 2.149164699949324, 2.165858299995307, 2.18254639999941]",0.07293749996460974,103.17467939999187,110.24071729998104,7.066410699975677,0.10680439998395741,,2025-03-03_12h41.59.390,conditioning,2022.2.1,59.99610027267894,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1327159000211395,,,,,,,,,,,,,110.24071729998104,110.24071729998104,110.24071729998104,110.24071729998104,110.24071729998104,110.24071729998104,110.24071729998104,110.24071729998104,110.24071729998104,0.0647715000086464,,,,,,,,,,,,,,,,
