FAB,stim,FPS,stim1,stim2,us,iti,cs_duration,trial,half,FPS_timing,pic_left,path_left,location_left,pic_right,path_right,location_right,task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,compound_trials.thisRepN,compound_trials.thisTrialN,compound_trials.thisN,compound_trials.thisIndex,wait_for_start_key.started,wait_for_start_key.keys,wait_for_start_key.rt,cross_start.started,cross_start.stopped,stim_onset,FPSstart,textr_comp.started,textl_comp.started,shape_comp.started,sliderl_comp.started,img_compr.started,img_compl.started,expect_comp.started,sliderr_comp.started,marker_comp.started,mouse_comp.started,marker_hit,stim_offset,CS_duration,exp_rating_final,exp_rt_final,exp_rating_all,exp_rt_all,iti_begin_cond,cross_2.started,cross_2.stopped,iti_duration,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,11.703123799990863,space,5.6093809000449255,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03_12h44.01.918,compound,2022.2.1,59.95358394480993,
A+,stim2,1,CS2,None,1,6,5,1,1,5,a,stimuli/orange.jpg,"[0.0, 0.1]",d,stimuli/purple.jpg,"[10, 0.1]",compound,,,,,0,0,0,0,,,,17.345303599955514,20.506269000004977,20.506269000004977,0.16249799996148795,20.506269000004977,20.506269000004977,20.506269000004977,20.506269000004977,20.506269000004977,20.506269000004977,20.506269000004977,20.506269000004977,20.506269000004977,0.16257019998738542,2.698967599950265,25.40198619995499,4.9987339999643154,99.8,4.332141499966383,"[51.1, 52.4, 56.4, 60.3, 64.0, 67.9, 69.5, 70.6, 71.7, 72.9, 74.9, 77.5, 82.4, 86.4, 88.6, 90.8, 92.0, 92.4, 94.1, 97.1, 99.4, 99.2, 99.1, 98.8, 98.3, 98.1, 97.8, 97.9, 98.1, 98.7, 99.3, 99.5, 99.8]","[2.698967599950265, 3.0320711999665946, 3.049022099992726, 3.0654112999909557, 3.082181599980686, 3.0987884999485686, 3.1155710999737494, 3.132047099992633, 3.148922899970785, 3.1654751999885775, 3.182112699956633, 3.1987168999621645, 3.2153749999706633, 3.2322708999854513, 3.248616500000935, 3.265367599960882, 3.282185699965339, 3.2986600999720395, 3.3486810999456793, 3.3653844999498688, 3.9681827999884263, 3.982148999988567, 4.015419899951667, 4.065361999964807, 4.098961899988353, 4.115476899954956, 4.132329299987759, 4.248891499999445, 4.265408399980515, 4.28212289995281, 4.2987367999739945, 4.315440899983514, 4.332141499966383]",0.06871279998449609,25.40198619995499,31.527205699996557,6.068562699947506,,2025-03-03_12h44.01.918,compound,2022.2.1,59.95358394480993,
BY+,compound2,1,CS1,CS3,1,5,5,2,1,5,b,stimuli/blue.jpg,"[-0.4, 0.1]",c,stimuli/green.jpg,"[0.4, 0.1]",compound,,,,,0,1,1,1,,,,,,31.527205699996557,0.11764319997746497,31.527205699996557,31.527205699996557,31.527205699996557,31.527205699996557,31.527205699996557,31.527205699996557,31.527205699996557,31.527205699996557,31.527205699996557,0.11769909999566153,1.0803963999496773,36.47232439997606,4.99952009995468,99.7,2.363444599963259,"[50.1, 49.9, 50.4, 53.4, 57.6, 61.6, 64.4, 65.3, 65.6, 66.1, 66.6, 66.7, 66.9, 69.7, 72.1, 74.3, 76.9, 79.6, 82.2, 82.3, 82.5, 85.0, 86.9, 88.0, 89.2, 90.0, 90.1, 90.9, 92.2, 94.1, 96.1, 97.1, 97.9, 98.1, 98.2, 98.3, 98.5, 98.7, 99.3, 99.7]","[1.0803963999496773, 1.1137031999533065, 1.3800721999723464, 1.3970543999457732, 1.4133872999809682, 1.4304030999774113, 1.446799099969212, 1.4633994999458082, 1.4801932999980636, 1.5133881999645382, 1.5303001999855042, 1.5469189999857917, 1.7800420999992639, 1.7967606999445707, 1.8134021999430843, 1.8304266999475658, 1.8467719999607652, 1.86364539997885, 1.880130699952133, 1.8996498999767937, 1.963352599996142, 1.9801131999702193, 1.9970506999525242, 2.0133659999701194, 2.0301929999841377, 2.0466806999756955, 2.063367999973707, 2.08006889995886, 2.0970106999739073, 2.1137106999522075, 2.1303511999431066, 2.1469890999724157, 2.163394699979108, 2.1800763999926858, 2.1967733999481425, 2.2133865999639966, 2.2328445999883115, 2.3301707999780774, 2.3467568999622017, 2.363444599963259]",0.07061449997127056,36.47232439997606,41.56506569997873,5.064206299954094,,2025-03-03_12h44.01.918,compound,2022.2.1,59.95358394480993,
B-,stim1,0,CS1,None,0,5,5,3,1,5,b,stimuli/blue.jpg,"[0.0, 0.1]",b,stimuli/blue.jpg,"[10, 0.1]",compound,,,,,0,2,2,2,,,,,,41.56506569997873,,41.56506569997873,41.56506569997873,41.56506569997873,41.56506569997873,41.56506569997873,41.56506569997873,41.56506569997873,41.56506569997873,41.56506569997873,0.09135549998609349,0.782663699996192,46.49754839995876,4.999057199980598,0.1,1.8658479999867268,"[52.4, 51.2, 50.0, 49.2, 48.4, 48.0, 47.8, 48.1, 48.0, 46.9, 43.3, 8.0, 7.1, 6.5, 6.2, 5.8, 5.6, 5.3, 5.0, 4.4, 3.9, 3.6, 3.5, 3.0, 2.3, 1.6, 1.0, 0.8, 0.7, 0.5, 0.4, 0.3, 0.2, 0.1]","[0.782663699996192, 0.7990865999599919, 0.815854299988132, 0.8324626999674365, 0.8491601999849081, 0.8658103999914601, 0.8824620000086725, 1.0492031999747269, 1.1160364999668673, 1.132582199992612, 1.149155699997209, 1.432578999956604, 1.4490587000036612, 1.465862799959723, 1.4824946000007913, 1.4992640999844298, 1.515706499980297, 1.5325685999705456, 1.5493437999975868, 1.5658278999617323, 1.5827294999617152, 1.599119599966798, 1.6326997999567538, 1.6492027000058442, 1.6659722999902442, 1.6826091999537311, 1.699126299994532, 1.715810399968177, 1.7324109000037424, 1.7493314999737777, 1.7853150999872014, 1.832649299991317, 1.849246600002516, 1.8658479999867268]",0.019489599973894656,46.49754839995876,51.57606519997353,5.03613119997317,,2025-03-03_12h44.01.918,compound,2022.2.1,59.95358394480993,
AX+,compound1,1,CS2,CS4,1,6,5,4,1,5,a,stimuli/orange.jpg,"[-0.4, 0.1]",d,stimuli/purple.jpg,"[0.4, 0.1]",compound,,,,,0,3,3,3,,,,,,51.57606519997353,0.06589189998339862,51.57606519997353,51.57606519997353,51.57606519997353,51.57606519997353,51.57606519997353,51.57606519997353,51.57606519997353,51.57606519997353,51.57606519997353,0.06594950001453981,1.34635290002916,56.57114509999519,4.996223199996166,99.8,2.5129037000006065,"[50.6, 48.3, 46.8, 45.6, 45.3, 45.2, 44.9, 45.9, 61.4, 71.6, 94.0, 91.0, 88.6, 88.4, 88.5, 90.1, 93.0, 95.6, 97.3, 97.8, 98.1, 98.7, 98.8, 99.3, 99.8]","[1.34635290002916, 1.3632404999807477, 1.3797886000247672, 1.3963649999932386, 1.4130492000258528, 1.4295846000313759, 1.4795275999931619, 1.5963703999877907, 1.8295376999885775, 1.8461584000033326, 2.0962793999933638, 2.112964899977669, 2.1294976000208408, 2.1462410999811254, 2.3462278000079095, 2.3629399000201374, 2.379537499975413, 2.396230500016827, 2.4128667999757454, 2.4295784999849275, 2.4465254999813624, 2.4629096999997273, 2.4795447000069544, 2.4962507000309415, 2.5129037000006065]",0.06927809998160228,56.57114509999519,62.63275279995287,6.063131000031717,,2025-03-03_12h44.01.918,compound,2022.2.1,59.95358394480993,
A+,stim2,1,CS2,None,1,6,5,5,1,5,a,stimuli/orange.jpg,"[0.0, 0.1]",d,stimuli/purple.jpg,"[10, 0.1]",compound,,,,,0,4,4,4,,,,,,62.63275279995287,0.05889789998764172,62.63275279995287,62.63275279995287,62.63275279995287,62.63275279995287,62.63275279995287,62.63275279995287,62.63275279995287,62.63275279995287,62.63275279995287,0.05895320000126958,0.966413400019519,67.62133559997892,4.983001600019634,99.9,1.633000100031495,"[47.8, 48.1, 49.4, 50.6, 52.4, 53.0, 53.3, 53.5, 53.7, 54.1, 54.8, 56.7, 58.5, 61.3, 65.0, 71.0, 78.9, 89.3, 93.8, 96.2, 96.9, 97.1, 97.7, 97.9, 98.1, 98.2, 98.6, 99.0, 99.4, 99.4, 99.6, 99.7, 99.8, 99.9]","[0.966413400019519, 1.0162591999978758, 1.0330839999951422, 1.0497267000027932, 1.0664520999998786, 1.0830827000318095, 1.0997763000195846, 1.1166462000110187, 1.1332897000247613, 1.1496935000177473, 1.1663857999956235, 1.1829572000424378, 1.1996417000191286, 1.2166355000226758, 1.2330181000288576, 1.2496954000089318, 1.2663661999977194, 1.283329900004901, 1.2996536000282504, 1.3164112000376917, 1.3329641000018455, 1.4331447000149637, 1.4497978000435978, 1.4662948999903165, 1.4829493000288494, 1.4997010999941267, 1.5164007000275888, 1.5330291000427678, 1.5496587000088766, 1.5664681000052951, 1.5829526000306942, 1.5999132000142708, 1.6164005000027828, 1.633000100031495]",0.056649100035429,67.62133559997892,73.73676479997812,6.050360699999146,,2025-03-03_12h44.01.918,compound,2022.2.1,59.95358394480993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.73676479997812,,73.73676479997812,73.73676479997812,73.73676479997812,73.73676479997812,73.73676479997812,73.73676479997812,73.73676479997812,73.73676479997812,73.73676479997812,0.11340679996646941,1.0992371999891475,,,,,,,,,,,,,,,,
