FAB,stim,pic,path,location,FPS,us,iti,cs_duration,trial,half,FPS_timing,task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,recall_trials.thisRepN,recall_trials.thisTrialN,recall_trials.thisN,recall_trials.thisIndex,wait_for_start_key.started,wait_for_start_key.keys,wait_for_start_key.rt,cross_start.started,stim_onset,textr_recall.started,img_recall.started,textl_recall.started,shape_recall.started,sliderl_recall.started,expect_recall.started,sliderr_recall.started,marker_recall.started,mouse_recall.started,marker_hit,stim_offset,CS_duration,exp_rating_final,exp_rt_final,exp_rating_all,exp_rt_all,iti_begin_cond,cross_2.started,cross_2.stopped,iti_duration,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,0,0,0,0,,,,,10.575752699980512,space,0.5980382999987341,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03_12h47.34.687,extinction_recall,2022.2.1,60.02754062172522,
X,CS4,d,stimuli/purple.jpg,"[0, 0.1]",0,0,6,5,1,1,7.052,recall,,,,,0,0,0,0,,,,11.195483699964825,14.247969699965324,14.247969699965324,14.247969699965324,14.247969699965324,14.247969699965324,14.247969699965324,14.247969699965324,14.247969699965324,14.247969699965324,0.05473450000863522,2.481026800000109,19.210423399985302,4.997792600013781,99.9,4.4309572000056505,"[51.1, 51.3, 51.1, 49.4, 47.8, 45.1, 42.6, 39.0, 36.9, 35.0, 4.7, 4.5, 4.7, 4.8, 4.2, 3.8, 3.6, 3.3, 2.9, 2.1, 1.5, 0.5, 0.6, 7.7, 15.3, 24.7, 34.9, 42.7, 51.9, 59.4, 64.1, 67.2, 69.4, 70.4, 71.3, 72.1, 72.7, 73.2, 74.0, 74.6, 75.7, 77.8, 80.3, 82.6, 84.8, 86.9, 89.4, 90.6, 91.6, 92.2, 92.9, 93.6, 94.3, 95.1, 95.9, 96.9, 98.0, 98.4, 98.8, 99.5, 99.9]","[2.481026800000109, 2.497710300027393, 2.7144857000093907, 2.7309908000170253, 2.7477043999824673, 2.7646019000094384, 2.780975900008343, 2.7979185999720357, 2.814387099992018, 2.831022700003814, 3.1143425999907777, 3.130958500027191, 3.197640499973204, 3.2311024999944493, 3.3310473000165075, 3.347660499974154, 3.364407900022343, 3.381050000025425, 3.3979178000008687, 3.414351199986413, 3.4310343000106514, 3.4476980000035837, 3.797706199984532, 3.814457600004971, 3.8310782000189647, 3.8476494000060484, 3.8645573999965563, 3.881071300012991, 3.8976756000192836, 3.9142931000096723, 3.9310368999722414, 3.947743500000797, 3.964550699980464, 3.9813227999839, 3.9976686000009067, 4.014368599979207, 4.031350900011603, 4.0477532999939285, 4.064283500018064, 4.081057799980044, 4.0976526999729685, 4.114336600003298, 4.1310149999917485, 4.147865600010846, 4.164276299998164, 4.181278400006704, 4.19788829999743, 4.214547000010498, 4.231099499971606, 4.247647000011057, 4.264551999978721, 4.281101899978239, 4.297681499971077, 4.314629199972842, 4.331013899995014, 4.347637899976689, 4.364392000017688, 4.381210700026713, 4.397656899993308, 4.414568500011228, 4.4309572000056505]",0.021199600014369935,19.210423399985302,25.274566399981268,6.0148320000153035,,2025-03-03_12h47.34.687,extinction_recall,2022.2.1,60.02754062172522,
,,,,,,,,,,,,,,,,,,,,,,,,,25.274566399981268,25.274566399981268,25.274566399981268,25.274566399981268,25.274566399981268,25.274566399981268,25.274566399981268,25.274566399981268,25.274566399981268,0.06841069995425642,0.8661874999525025,30.210373399953824,4.982738199993037,0.6,1.599466299987398,"[51.2, 50.9, 50.8, 50.6, 50.6, 50.3, 49.8, 49.5, 49.1, 48.3, 47.1, 45.1, 42.8, 38.5, 35.2, 32.1, 29.2, 25.6, 22.5, 19.4, 16.4, 14.4, 14.1, 14.0, 13.9, 13.3, 13.0, 12.2, 10.6, 9.0, 7.2, 5.6, 4.4, 3.4, 2.7, 2.1, 1.4, 0.6]","[0.8661874999525025, 0.8829736999468878, 0.8994177999556996, 0.9161693999776617, 0.9328328999690711, 1.0661207999801263, 1.0829530999762937, 1.0994541999534704, 1.1160518999677151, 1.132766900002025, 1.1493941999506205, 1.166110899997875, 1.1828254999709316, 1.1994395999936387, 1.2163645999971777, 1.2328270999714732, 1.249545099970419, 1.2661764999502338, 1.283054200001061, 1.2993995999568142, 1.3161039999686182, 1.3326870999881066, 1.3495989999501035, 1.3660704999929294, 1.3827765999594703, 1.3994831999880262, 1.4161149999708869, 1.43282539997017, 1.4495852999971248, 1.4662210999522358, 1.482989499985706, 1.4994826999609359, 1.516126099973917, 1.5330732999718748, 1.5496405999874696, 1.5660612999927253, 1.5828210999607109, 1.599466299987398]",0.006035899976268411,30.210373399953824,,,,,,,,
