participant,CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,counterbal_order,stim,recall_trials.thisRepN,recall_trials.thisTrialN,recall_trials.thisN,recall_trials.thisIndex,crosshair.started,crosshair.stopped,trials_resp.started,recall_image.started,trials_resp.keys,trials_resp.rt,trials_resp.duration,trials_resp.stopped,recall_image.stopped,session,date,expName,psychopyVersion,frameRate,
3.0,CSm,t_001,recall,1.0,1.0,tool_001,CSm_001,Order1,stims/tools/stapler.jpg,0,0,0,0,9.813078167033382,10.820542292029131,10.820542292029131,10.820542292029131,2,0.4437131670420058,None,,,2,2025-06-18_10h35.30.589,recall,2023.1.3,None,
None,None,None,None,None,1.0,None,None,None,None,0,1,1,1,15.819400209002197,16.810410625010263,16.810410625010263,16.810410625010263,None,,,21.805876875005197,21.805876875005197,2,2025-06-18_10h35.30.589,recall,2023.1.3,None,
None,None,None,None,None,1.0,None,None,None,None,0,2,2,2,21.805876875005197,22.804622250027023,22.804622250027023,22.804622250027023,None,,,,,2,2025-06-18_10h35.30.589,recall,2023.1.3,None,
None,None,None,None,None,1.0,None,None,None,None,0,3,3,3,27.80940783402184,28.803339959005825,28.803339959005825,28.803339959005825,None,,,,,2,2025-06-18_10h35.30.589,recall,2023.1.3,None,
