6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	BTT	BDT	BLX	BLY	BCX	BCY	BRI	BPW	BPH	BQU	BFX	GPX	GPY	GPZ	CNT	MRK	STR
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	 X 	 Y 	 Z 	Count	Marker	String
7	 0.000000	EyeA FrameRate	60
7	 0.000000	EyeB FrameRate	60
10	  0.1998	  16.4056	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.1920	  16.8215	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.00	  0.00	  0.00	12		
10	  0.2166	  16.7867	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.2086	  16.5648	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.00	  0.00	  0.00	13		
10	  0.2334	  16.7421	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.2253	  16.7602	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	14		
10	  0.2501	  16.7458	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.2419	  16.5852	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	15		
10	  0.2668	  16.7288	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.2587	  16.7953	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	16		
10	  0.2835	  16.6875	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.2587	  16.7953	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	17		
10	  0.3000	  16.4439	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.2920	  16.6821	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	18		
10	  0.3167	  16.6872	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.3087	  16.6494	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	19		
10	  0.3334	  16.7088	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.3255	  16.7652	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	20		
10	  0.3501	  16.7348	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.3422	  16.6971	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	21		
10	  0.3669	  16.7595	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.3589	  16.7165	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	22		
10	  0.3836	  16.7337	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.3756	  16.6826	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	23		
10	  0.4003	  16.7052	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.3922	  16.6372	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	24		
10	  0.4168	  16.4874	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.4087	  16.5319	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	25		
10	  0.4336	  16.8364	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	5	0.0000	  0.4254	  16.7153	0.0000	0.0000	0.0000	0.0000	-1	0.9498	0.6977	3	0.0000	  0.00	  0.00	  0.00	26		
